multi_title,theta,n_keywords,p,r
TRUE,0.1,5,0.387079552,0.945241199
TRUE,0.1,6,0.4071991,0.943937419
TRUE,0.1,8,0.325257963,0.945241199
TRUE,0.1,10,0.320123294,0.947848761
TRUE,0.1,12,0.343415542,0.962190352
TRUE,0.1,14,0.340215861,0.945241199
TRUE,0.1,16,0.328724353,0.960886571
TRUE,0.1,17,0.332582244,0.962190352
TRUE,0.1,19,0.326855124,0.964797914
TRUE,0.1,21,0.320713664,0.960886571
TRUE,0.1,23,0.322130074,0.962190352
TRUE,0.1,25,0.320173536,0.962190352
TRUE,0.1,27,0.317732933,0.964797914
TRUE,0.1,28,0.311578947,0.964797914
TRUE,0.1,30,0.315342116,0.967405476
TRUE,0.1,32,0.308364544,0.966101695
TRUE,0.1,34,0.308108108,0.966101695
TRUE,0.1,36,0.307788421,0.963494133
TRUE,0.1,38,0.306893688,0.963494133
TRUE,0.1,40,0.311945969,0.963494133
TRUE,0.112883789,5,0.435096154,0.943937419
TRUE,0.112883789,6,0.427138643,0.943937419
TRUE,0.112883789,8,0.344091125,0.945241199
TRUE,0.112883789,10,0.353599222,0.947848761
TRUE,0.112883789,12,0.371717172,0.95958279
TRUE,0.112883789,14,0.325560538,0.94654498
TRUE,0.112883789,16,0.345991561,0.962190352
TRUE,0.112883789,17,0.341361742,0.960886571
TRUE,0.112883789,19,0.345522738,0.960886571
TRUE,0.112883789,21,0.34244671,0.963494133
TRUE,0.112883789,23,0.345310313,0.964797914
TRUE,0.112883789,25,0.342117429,0.964797914
TRUE,0.112883789,27,0.325847644,0.964797914
TRUE,0.112883789,28,0.325867369,0.967405476
TRUE,0.112883789,30,0.325867369,0.967405476
TRUE,0.112883789,32,0.337579618,0.967405476
TRUE,0.112883789,34,0.324005247,0.966101695
TRUE,0.112883789,36,0.336818182,0.966101695
TRUE,0.112883789,38,0.33243607,0.966101695
TRUE,0.112883789,40,0.32774592,0.968709257
TRUE,0.127427499,5,0.438787879,0.943937419
TRUE,0.127427499,6,0.429331756,0.94654498
TRUE,0.127427499,8,0.364735516,0.943937419
TRUE,0.127427499,10,0.38392385,0.94654498
TRUE,0.127427499,12,0.385018334,0.958279009
TRUE,0.127427499,14,0.341981132,0.945241199
TRUE,0.127427499,16,0.36159601,0.945241199
TRUE,0.127427499,17,0.36159601,0.945241199
TRUE,0.127427499,19,0.355915562,0.945241199
TRUE,0.127427499,21,0.355153884,0.947848761
TRUE,0.127427499,23,0.35336888,0.950456323
TRUE,0.127427499,25,0.353540252,0.950456323
TRUE,0.127427499,27,0.352685051,0.950456323
TRUE,0.127427499,28,0.35059952,0.953063885
TRUE,0.127427499,30,0.348261077,0.953063885
TRUE,0.127427499,32,0.348926014,0.953063885
TRUE,0.127427499,34,0.351949928,0.953063885
TRUE,0.127427499,36,0.350431448,0.953063885
TRUE,0.127427499,38,0.350431448,0.953063885
TRUE,0.127427499,40,0.350742693,0.954367666
TRUE,0.143844989,5,0.444240196,0.945241199
TRUE,0.143844989,6,0.437273824,0.945241199
TRUE,0.143844989,8,0.381027254,0.947848761
TRUE,0.143844989,10,0.4013267,0.94654498
TRUE,0.143844989,12,0.414997138,0.945241199
TRUE,0.143844989,14,0.410502541,0.947848761
TRUE,0.143844989,16,0.417336395,0.947848761
TRUE,0.143844989,17,0.418778802,0.947848761
TRUE,0.143844989,19,0.433253874,0.947848761
TRUE,0.143844989,21,0.432818074,0.949152542
TRUE,0.143844989,23,0.425730994,0.949152542
TRUE,0.143844989,25,0.427480916,0.949152542
TRUE,0.143844989,27,0.429498525,0.949152542
TRUE,0.143844989,28,0.412932501,0.949152542
TRUE,0.143844989,30,0.407843137,0.949152542
TRUE,0.143844989,32,0.415762421,0.949152542
TRUE,0.143844989,34,0.424401635,0.947848761
TRUE,0.143844989,36,0.370426829,0.950456323
TRUE,0.143844989,38,0.374229979,0.950456323
TRUE,0.143844989,40,0.437312537,0.950456323
TRUE,0.162377674,5,0.454660748,0.934810952
TRUE,0.162377674,6,0.452841974,0.945241199
TRUE,0.162377674,8,0.434548715,0.947848761
TRUE,0.162377674,10,0.427813789,0.94654498
TRUE,0.162377674,12,0.444240196,0.945241199
TRUE,0.162377674,14,0.444920441,0.947848761
TRUE,0.162377674,16,0.455284553,0.949152542
TRUE,0.162377674,17,0.455,0.949152542
TRUE,0.162377674,19,0.465648855,0.954367666
TRUE,0.162377674,21,0.470096463,0.953063885
TRUE,0.162377674,23,0.468289558,0.953063885
TRUE,0.162377674,25,0.470701867,0.953063885
TRUE,0.162377674,27,0.465308721,0.953063885
TRUE,0.162377674,28,0.45859473,0.953063885
TRUE,0.162377674,30,0.451792336,0.953063885
TRUE,0.162377674,32,0.4509562,0.953063885
TRUE,0.162377674,34,0.454319453,0.953063885
TRUE,0.162377674,36,0.439806413,0.947848761
TRUE,0.162377674,38,0.438215793,0.947848761
TRUE,0.162377674,40,0.447788698,0.950456323
TRUE,0.183298071,5,0.494166095,0.938722295
TRUE,0.183298071,6,0.509845288,0.945241199
TRUE,0.183298071,8,0.469559585,0.945241199
TRUE,0.183298071,10,0.479152879,0.943937419
TRUE,0.183298071,12,0.477916941,0.945241199
TRUE,0.183298071,14,0.484666667,0.947848761
TRUE,0.183298071,16,0.483399734,0.949152542
TRUE,0.183298071,17,0.488575269,0.947848761
TRUE,0.183298071,19,0.483168317,0.954367666
TRUE,0.183298071,21,0.498637602,0.954367666
TRUE,0.183298071,23,0.493261456,0.954367666
TRUE,0.183298071,25,0.492266308,0.954367666
TRUE,0.183298071,27,0.49526387,0.954367666
TRUE,0.183298071,28,0.489304813,0.954367666
TRUE,0.183298071,30,0.490945674,0.954367666
TRUE,0.183298071,32,0.48832555,0.954367666
TRUE,0.183298071,34,0.492948287,0.956975228
TRUE,0.183298071,36,0.49327957,0.956975228
TRUE,0.183298071,38,0.493943472,0.956975228
TRUE,0.183298071,40,0.511821975,0.95958279
TRUE,0.206913808,5,0.519105984,0.938722295
TRUE,0.206913808,6,0.536585366,0.94654498
TRUE,0.206913808,8,0.490859851,0.945241199
TRUE,0.206913808,10,0.501730104,0.945241199
TRUE,0.206913808,12,0.520833333,0.945241199
TRUE,0.206913808,14,0.509817672,0.947848761
TRUE,0.206913808,16,0.516335227,0.947848761
TRUE,0.206913808,17,0.513418079,0.947848761
TRUE,0.206913808,19,0.503785272,0.954367666
TRUE,0.206913808,21,0.508344924,0.953063885
TRUE,0.206913808,23,0.506232687,0.953063885
TRUE,0.206913808,25,0.506583507,0.953063885
TRUE,0.206913808,27,0.509407666,0.953063885
TRUE,0.206913808,28,0.506934813,0.953063885
TRUE,0.206913808,30,0.508344924,0.953063885
TRUE,0.206913808,32,0.51047486,0.953063885
TRUE,0.206913808,34,0.519176136,0.953063885
TRUE,0.206913808,36,0.516607774,0.953063885
